"proposed_url","page_title","cluster","intent","reason","gsc_evidence","parent_hub","internal_link_sources","priority","implemented"
"credit-report-help.html","Credit Report Help Centre | Credit Roadmap UK","Credit Reports","navigation/education","Creates a useful parent route for a missing or thinly connected cluster.","GSC shows credit-report/score, electoral roll, utilisation and agency-adjacent queries; repository lacked a central credit-report hub.","credit-report-help.html","index.html | credit-report-help.html | roadmap.html | credit-cards-and-credit-building.html | mortgage-credit-help.html","A","yes"
"missed-payments-credit-help.html","Missed Payments and Credit Help | Credit Roadmap UK","Missed Payments","navigation/education","Creates a useful parent route for a missing or thinly connected cluster.","GSC shows mortgage missed-payment lookback and declined/phone signals; existing missed-payment coverage was fragmented.","missed-payments-credit-help.html","index.html | missed-payments-credit-help.html | roadmap.html | mortgage-credit-help.html | mobile-contract-credit-help.html","A","yes"
"renting-credit-help.html","Renting With Credit Problems | Credit Roadmap UK","Renting and Credit","navigation/education","Creates a useful parent route for a missing or thinly connected cluster.","Strategic topical gap adjacent to credit checks and guarantor/affordability questions; built as small controlled cluster.","renting-credit-help.html","index.html | renting-credit-help.html | roadmap.html","A","yes"
"personal-loans-and-credit.html","Personal Loans and Credit Checks | Credit Roadmap UK","Personal Loans","navigation/education","Creates a useful parent route for a missing or thinly connected cluster.","Existing CCJ loan page but no defaults/bankruptcy/rejection/affordability loan cluster.","personal-loans-and-credit.html","index.html | personal-loans-and-credit.html | roadmap.html | ccj-help.html","A","yes"
"credit-recovery-timelines.html","Credit Recovery Timelines | Credit Roadmap UK","Credit Recovery Timelines","navigation/education","Creates a useful parent route for a missing or thinly connected cluster.","GSC shows application timing, CCJ/default age and report-date questions; existing timeline tool was broad.","credit-recovery-timelines.html","index.html | credit-recovery-timelines.html | roadmap.html","A","yes"
"default-removal-date-calculator.html","Default Removal Date Calculator | Credit Roadmap UK","Credit Recovery Timelines","calculator/readiness","Provides a practical non-sensitive tool for application timing or readiness.","GSC shows application timing, CCJ/default age and report-date questions; existing timeline tool was broad.","credit-recovery-timelines.html","index.html | credit-recovery-timelines.html | roadmap.html","A","yes"
"hard-search-recovery-timeline.html","Hard Search Recovery Timeline | Credit Roadmap UK","Credit Recovery Timelines","calculator/readiness","Provides a practical non-sensitive tool for application timing or readiness.","GSC shows application timing, CCJ/default age and report-date questions; existing timeline tool was broad.","credit-recovery-timelines.html","index.html | credit-recovery-timelines.html | roadmap.html","A","yes"
"application-spacing-planner.html","Credit Application Spacing Planner | Credit Roadmap UK","Credit Recovery Timelines","calculator/readiness","Provides a practical non-sensitive tool for application timing or readiness.","GSC shows application timing, CCJ/default age and report-date questions; existing timeline tool was broad.","credit-recovery-timelines.html","index.html | credit-recovery-timelines.html | roadmap.html","A","yes"
"car-finance-readiness-score.html","Car Finance Readiness Score | Credit Roadmap UK","Application Readiness Tools","calculator/readiness","Provides a practical non-sensitive tool for application timing or readiness.","Existing tools are rewarded; added two practical readiness tools tied to credit-card/car-finance clusters.","roadmap.html","index.html | roadmap.html","A","yes"
"credit-card-application-readiness.html","Credit Card Application Readiness | Credit Roadmap UK","Application Readiness Tools","calculator/readiness","Provides a practical non-sensitive tool for application timing or readiness.","Existing tools are rewarded; added two practical readiness tools tied to credit-card/car-finance clusters.","roadmap.html","index.html | roadmap.html","A","yes"
"how-to-check-your-credit-report.html","How to Check Your Credit Report | Credit Roadmap UK","Credit Reports","educational","Answers a distinct UK credit-file or application-readiness question.","GSC shows credit-report/score, electoral roll, utilisation and agency-adjacent queries; repository lacked a central credit-report hub.","credit-report-help.html","index.html | credit-report-help.html | roadmap.html | credit-cards-and-credit-building.html | mortgage-credit-help.html","A","yes"
"experian-equifax-transunion-explained.html","Experian, Equifax and TransUnion Explained | Credit Roadmap UK","Credit Reports","educational","Answers a distinct UK credit-file or application-readiness question.","GSC shows credit-report/score, electoral roll, utilisation and agency-adjacent queries; repository lacked a central credit-report hub.","credit-report-help.html","index.html | credit-report-help.html | roadmap.html | credit-cards-and-credit-building.html | mortgage-credit-help.html","A","yes"
"how-to-correct-credit-report-errors.html","How to Correct Credit Report Errors | Credit Roadmap UK","Credit Reports","educational","Answers a distinct UK credit-file or application-readiness question.","GSC shows credit-report/score, electoral roll, utilisation and agency-adjacent queries; repository lacked a central credit-report hub.","credit-report-help.html","index.html | credit-report-help.html | roadmap.html | credit-cards-and-credit-building.html | mortgage-credit-help.html","A","yes"
"what-is-a-hard-credit-search.html","What Is a Hard Credit Search? | Credit Roadmap UK","Credit Reports","educational","Answers a distinct UK credit-file or application-readiness question.","GSC shows credit-report/score, electoral roll, utilisation and agency-adjacent queries; repository lacked a central credit-report hub.","credit-report-help.html","index.html | credit-report-help.html | roadmap.html | credit-cards-and-credit-building.html | mortgage-credit-help.html","A","yes"
"what-is-a-soft-credit-search.html","What Is a Soft Credit Search? | Credit Roadmap UK","Credit Reports","educational","Answers a distinct UK credit-file or application-readiness question.","GSC shows credit-report/score, electoral roll, utilisation and agency-adjacent queries; repository lacked a central credit-report hub.","credit-report-help.html","index.html | credit-report-help.html | roadmap.html | credit-cards-and-credit-building.html | mortgage-credit-help.html","A","yes"
"how-long-do-hard-searches-stay-on-credit-file.html","How Long Do Hard Searches Stay on a Credit File? | Credit Roadmap UK","Credit Reports","educational","Answers a distinct UK credit-file or application-readiness question.","GSC shows credit-report/score, electoral roll, utilisation and agency-adjacent queries; repository lacked a central credit-report hub.","credit-report-help.html","index.html | credit-report-help.html | roadmap.html | credit-cards-and-credit-building.html | mortgage-credit-help.html","A","yes"
"financial-associations-credit-report.html","Financial Associations on a Credit Report | Credit Roadmap UK","Credit Reports","educational","Answers a distinct UK credit-file or application-readiness question.","GSC shows credit-report/score, electoral roll, utilisation and agency-adjacent queries; repository lacked a central credit-report hub.","credit-report-help.html","index.html | credit-report-help.html | roadmap.html | credit-cards-and-credit-building.html | mortgage-credit-help.html","A","yes"
"address-history-and-credit-applications.html","Address History and Credit Applications | Credit Roadmap UK","Credit Reports","educational","Answers a distinct UK credit-file or application-readiness question.","GSC shows credit-report/score, electoral roll, utilisation and agency-adjacent queries; repository lacked a central credit-report hub.","credit-report-help.html","index.html | credit-report-help.html | roadmap.html | credit-cards-and-credit-building.html | mortgage-credit-help.html","A","yes"
"payment-history-on-credit-report.html","Payment History on Your Credit Report | Credit Roadmap UK","Credit Reports","educational","Answers a distinct UK credit-file or application-readiness question.","GSC shows credit-report/score, electoral roll, utilisation and agency-adjacent queries; repository lacked a central credit-report hub.","credit-report-help.html","index.html | credit-report-help.html | roadmap.html | credit-cards-and-credit-building.html | mortgage-credit-help.html","A","yes"
"why-your-credit-score-differs-between-agencies.html","Why Credit Scores Differ Between Agencies | Credit Roadmap UK","Credit Reports","educational","Answers a distinct UK credit-file or application-readiness question.","GSC shows credit-report/score, electoral roll, utilisation and agency-adjacent queries; repository lacked a central credit-report hub.","credit-report-help.html","index.html | credit-report-help.html | roadmap.html | credit-cards-and-credit-building.html | mortgage-credit-help.html","A","yes"
"missed-payments-and-credit-score.html","Missed Payments and Credit Score | Credit Roadmap UK","Missed Payments","educational","Answers a distinct UK credit-file or application-readiness question.","GSC shows mortgage missed-payment lookback and declined/phone signals; existing missed-payment coverage was fragmented.","missed-payments-credit-help.html","index.html | missed-payments-credit-help.html | roadmap.html | mortgage-credit-help.html | mobile-contract-credit-help.html","A","yes"
"late-payment-on-credit-file.html","Late Payment on Credit File | Credit Roadmap UK","Missed Payments","educational","Answers a distinct UK credit-file or application-readiness question.","GSC shows mortgage missed-payment lookback and declined/phone signals; existing missed-payment coverage was fragmented.","missed-payments-credit-help.html","index.html | missed-payments-credit-help.html | roadmap.html | mortgage-credit-help.html | mobile-contract-credit-help.html","A","yes"
"one-missed-payment-credit-score.html","One Missed Payment and Your Credit Score | Credit Roadmap UK","Missed Payments","educational","Answers a distinct UK credit-file or application-readiness question.","GSC shows mortgage missed-payment lookback and declined/phone signals; existing missed-payment coverage was fragmented.","missed-payments-credit-help.html","index.html | missed-payments-credit-help.html | roadmap.html | mortgage-credit-help.html | mobile-contract-credit-help.html","A","yes"
"multiple-missed-payments-credit-file.html","Multiple Missed Payments on a Credit File | Credit Roadmap UK","Missed Payments","educational","Answers a distinct UK credit-file or application-readiness question.","GSC shows mortgage missed-payment lookback and declined/phone signals; existing missed-payment coverage was fragmented.","missed-payments-credit-help.html","index.html | missed-payments-credit-help.html | roadmap.html | mortgage-credit-help.html | mobile-contract-credit-help.html","A","yes"
"how-long-do-missed-payments-stay-on-credit-file.html","How Long Do Missed Payments Stay on a Credit File? | Credit Roadmap UK","Missed Payments","educational","Answers a distinct UK credit-file or application-readiness question.","GSC shows mortgage missed-payment lookback and declined/phone signals; existing missed-payment coverage was fragmented.","missed-payments-credit-help.html","index.html | missed-payments-credit-help.html | roadmap.html | mortgage-credit-help.html | mobile-contract-credit-help.html","A","yes"
"missed-mobile-phone-payment-credit-score.html","Missed Mobile Phone Payment and Credit Score | Credit Roadmap UK","Missed Payments","educational","Answers a distinct UK credit-file or application-readiness question.","GSC shows mortgage missed-payment lookback and declined/phone signals; existing missed-payment coverage was fragmented.","missed-payments-credit-help.html","index.html | missed-payments-credit-help.html | roadmap.html | mortgage-credit-help.html | mobile-contract-credit-help.html","A","yes"
"utility-bill-missed-payment-credit-score.html","Utility Bill Missed Payment and Credit Score | Credit Roadmap UK","Missed Payments","educational","Answers a distinct UK credit-file or application-readiness question.","GSC shows mortgage missed-payment lookback and declined/phone signals; existing missed-payment coverage was fragmented.","missed-payments-credit-help.html","index.html | missed-payments-credit-help.html | roadmap.html | mortgage-credit-help.html | mobile-contract-credit-help.html","A","yes"
"mortgage-arrears-and-credit-file.html","Mortgage Arrears and Your Credit File | Credit Roadmap UK","Missed Payments","educational","Answers a distinct UK credit-file or application-readiness question.","GSC shows mortgage missed-payment lookback and declined/phone signals; existing missed-payment coverage was fragmented.","missed-payments-credit-help.html","index.html | missed-payments-credit-help.html | roadmap.html | mortgage-credit-help.html | mobile-contract-credit-help.html","A","yes"
"rebuilding-credit-after-missed-payments.html","Rebuilding Credit After Missed Payments | Credit Roadmap UK","Missed Payments","educational","Answers a distinct UK credit-file or application-readiness question.","GSC shows mortgage missed-payment lookback and declined/phone signals; existing missed-payment coverage was fragmented.","missed-payments-credit-help.html","index.html | missed-payments-credit-help.html | roadmap.html | mortgage-credit-help.html | mobile-contract-credit-help.html","A","yes"
"missed-payment-before-mortgage-application.html","Missed Payment Before a Mortgage Application | Credit Roadmap UK","Missed Payments","educational","Answers a distinct UK credit-file or application-readiness question.","GSC shows mortgage missed-payment lookback and declined/phone signals; existing missed-payment coverage was fragmented.","missed-payments-credit-help.html","index.html | missed-payments-credit-help.html | roadmap.html | mortgage-credit-help.html | mobile-contract-credit-help.html","A","yes"
"renting-with-bad-credit.html","Renting With Bad Credit | Credit Roadmap UK","Renting and Credit","educational","Answers a distinct UK credit-file or application-readiness question.","Strategic topical gap adjacent to credit checks and guarantor/affordability questions; built as small controlled cluster.","renting-credit-help.html","index.html | renting-credit-help.html | roadmap.html","A","yes"
"renting-with-a-ccj.html","Renting With a CCJ | Credit Roadmap UK","Renting and Credit","educational","Answers a distinct UK credit-file or application-readiness question.","Strategic topical gap adjacent to credit checks and guarantor/affordability questions; built as small controlled cluster.","renting-credit-help.html","index.html | renting-credit-help.html | roadmap.html","A","yes"
